x,c0,c1,c2,c3,c4,c5
1.165,10.416771965041105,7.663773016203273,6.306048924534066,-20.21040554750621,-73.74577056153642,-11.951708523051105
1.166,10.415561281597219,7.676089086249845,6.362778532637551,-19.869871348106148,-78.49989048256208,-11.952856863225094
1.167,10.416062610757994,7.690302332241377,6.425429842985546,-19.51380806471734,-83.15097568755792,-11.952293123442294
1.168,10.418902536473075,7.706995096129866,6.4943496121901045,-19.1429376201484,-87.67068527032073,-11.9493904543529
1.169,10.422952991993618,7.724994512729282,6.568128630504266,-18.759721764553525,-92.02972631161411,-11.945276762469403
1.17,10.424067545236355,7.740108631914974,6.642339728567526,-18.369615651987452,-96.19985834152794,-11.94409845264452
1.171,10.422487789502245,7.752532708912234,6.7169454044873245,-17.97365316709286,-100.1476935310309,-11.945614055734092
1.172,10.420151291957659,7.764157278420079,6.793606503046643,-17.571132139386282,-103.83892280843716,-11.947886263297633
1.173,10.42008500253357,7.777961896169003,6.8750758152211,-17.16021555685839,-107.24055093231766,-11.947888477726833
1.174,10.419639585443823,7.791249798766726,6.958432050110437,-16.744692901551435,-110.32912958805768,-11.948270446078723
1.175,10.42068838564296,7.805847098876856,7.045277921578611,-16.323778129963607,-113.08166362612234,-11.947159275535997
1.176,10.424614624587832,7.823090180586259,7.136726049451949,-15.897120228437627,-115.48126970113427,-11.943172225060783
1.177,10.429704431152011,7.841218831585187,7.230790393049524,-15.467408815838192,-117.51998478375546,-11.938023676274442
1.178,10.433448061872012,7.857677451905184,7.324685657248513,-15.038072202140606,-119.19632091667873,-11.934223928295438
1.179,10.436983196789917,7.873558326418263,7.4192687163906275,-14.608834026249502,-120.51047409768125,-11.930635914254479
1.18,10.442100492450534,7.890607268057303,7.51604242499532,-14.1787081156548,-121.46691735039367,-11.925469646625444
1.181,10.447204522624268,7.907184702454092,7.6131150655836946,-13.75003823034582,-122.07811645288771,-11.920321261339774
1.182,10.454058764572054,7.925010760078149,7.711944145443236,-13.321754309863936,-122.35763852819822,-11.91342802754552
1.183,10.460742564150868,7.942122341340913,7.810292613079039,-12.896416881484143,-122.32727178732046,-11.906711375841756
1.184,10.46552597165311,7.956748031149645,7.906103404362281,-12.476343866562416,-122.0134197690899,-11.901902059693144
